Igala,English
chónáà,design
ìchẹ́,designation
àchọ́ná,designer
ténẹ́,desire
ténè,desired
ìtébùlù kẹ́kẹ́,desk
k’ẹ́jūkú,despite
jùjà,desperately
úgbó,destination
ọ̀káí,destiny
búla,destroy
kpabíẹ́,destroyed
biẹ́,destroying
úkwú,destruction
tàchí,detach
tachí,detached
àfàdámá,detail
àmọfàdámá,details
lí,detect
lí-ẹ́gbọ,detection
lọ̀,determine
nà,determined
bà,determines
gbálúká,determining
ùmábíì,development
àbúbíì,developmental
ílā,deviation
ẹ̀bìlíì,devil
d’ẹ́bọ,devote
ọ̀gá-ìchúgáà,diabetes
àwọ̀nyí,diagram
ọ̀lá,dialogue
ọ́lọ́ọ̀,diameter
kà,dictate
che,did
kpá,die
kpá,died
ákpá,dies
ẹ́ñwu-àjẹñwu,diet
ójóojì,differ
ójóojì,different
ójóojì,differentiated
ójóojì,differing
òjíma,dignity
ìhíányì,dilemma
ùjíjì,dimension
àmújìjì,dimensions
m̀úm̀ú,dim
kpẹ́mùù,dimly
gẹ̀gẹ̀dẹ̀,direct
kpàlà,directly
ọ̀ọ́nà,direction
àdọ́gbéè,directions
jálíí,directly
hìjọ̀ọ̀,dirty
olọ́,disability
fọ̀,disable
ńolọ́,disabled
ùchóbí,disaster
bù,discipline
kà-dùfù,disclosure
dà,discovers
ùmà,discretion
álóò,discussion
ọ̀gá,disease
àmọ́gá,diseases
bùgùù,dishevelled
àmọ́chìbú,dishes
k'ùlàkà,dislike
hí-tánẹ́ẹ̀,dismissed
júgwúú,disorderly
bíya,dispersion
gbẹ́,displaced
ténẹ́,disposed
áli,disposition
ìyàà,dispute
ójóojì,dissimilarity
ùbíjì,distance
jìjì,distant
nyọ̀,distinctive
jálí,distinct
kpákáá,distinctly
dàlọ,distort
ọ̀bọ́dọ́,distorted
kpẹ́,distributed
Ójánẹ̀,District
àmọ́jánẹ̀,districts
ọ̀kpàtàchìì,distinguished
àjíkà,disturbances
bíùù,disturbed
k’ọ́gbọ,disturbing
ojóojí,diversity
kpẹ́rú,divide
àmólè̀,dividends
Ọjọ́,divine
Ọ́jọ́,divine
ùdā,divisions
dáárú,divorce
wúùùlù,dizzy
gàwùù,dizzyingly
che,do
énẹ́ógwù,doctor
ẹ́gbà,doctrine
àmẹ́gbà,doctrines
ílétà,document
àmílétà,documents
ábíá,dog
ámábíá,dogs
únyí,Domestic
Únyí,Domestic
dá,dominated
Ẹ́,Don
ché,done
ọ́nà,door
álu-ọ̀ọ́nà,doorway
ámọ́nà,doors
ójī,dose
èjì,double
ẹ̀gwejì,Double
ẹ́jìjì,doubt
ọ́ganẹ̀,down
hí,Down
fọ̀ọ́,drag
ákilíwo,dramatically
fá,drawing
ná,dream
áfẹ̀,dress
nẹ́ ọ́la,dressed
nẹ́ ọ́la,dressing
ẹ́nẹ́-ujùlù,drifter
mọ,drink
émọ,drinking
gwà,drive
ágwọ́kọ,driver
égwá,driving
kpẹ̀ẹ́,drop
hì,dropped
àmí,drops
ógwù,drug
àmógwù,drugs
m’ọ́tẹ́,drunk
gbálẹ́,drunkenly
gbẹ́,dry
tódú,due
gégédẹ́,duly
éfù,during
íkò,duration
Dóchù,Dutch
úkọ́lọ́,duties
údú,duty
òdò,dwelling
ényání,dyer
úkwú,dying
gbẹ́gā,dynamic
étẹ̀ọ̀fẹ́,dynasty
anẹ́ẹ̀,earth
ánẹ́,earthly
gbànyọ̀,ease
dégègè,easier
gbégbé,easily
àpá,east
lọ́la,easy
jẹ,eat
újẹ́ñwu,eating
jẹ́,eaten
ọkọ́,economic
ẹ́rẹ́,economically
gbéjú,educated
kpà,effective
jálíí,effectively
lọ́lá,efficient
nyọ́nyọ̀,efficiently
ùkpáhíú,effort
àbùché,efforts
fẹ̀ẹ̀lẹ̀,effortless
kwúyẹ́ẹ́,effortlessly
ẹ́gẹ,egg
ámẹ́gẹ,eggs
ẹ̀jọ,eight
ẹ̀kẹ́jọ,eighth
bàkí,either
jínyà,elaborate
uná,electric
únaa,electricity
íló,electronic
úgbógbó,elevation
ùgbọ́kìíbọ̀,elsewhere
Èl,El
ámí,em
kwóò,emanate
dẹ́,embedded
d’ọ́,embodied
gbà,embrace
gbá,embraced
ẹ́gẹ,embryo
dúfù,emerge
ẹ̀dúfù,emergence
dufù,emerged
dúfù,emerging
kpákáá,eminent
ojáanẹ̀,empire
àmaójáanẹ̀,empires
àb’úkọ́lọ́,employees
úkọ́lọ́,employment
òfòfo,empty
jẹ̄,enable
jẹ́,enabled
ché,enacted
kámá,enclosing
jì,enclosed
kámá,encompassing
kẹ̀rẹ́bọ́,encounter
gbà,encourage
úkpōjí,end
gbẹ́,ended
ọ̀gbálìkọ̀,endless
Jì,End
chẹ́,endowed
f’ẹ́dọ̀ jẹ́,endure
dégègè,enduring
àmẹ́nẹ́-ọ́là,enemies
ẹ́nẹ́-ọ́là,enemy
ífẹ̀,energy
ámí,energies
éjìnì,engine
ónẹ́-éjìníyà,engineer
nẹ́,engineered
áméjìnì,engines
Ẹ́nẹ́fù,English
Ẹ́nẹ́fù,English
tọ̀,enhance
ch’únyọ̀,enjoy
gbẹ́,enjoyed
úrá,enjoying
ùyọ̀,enjoyment
lì-ẹ́jú,enlightened
gọmm,enormous
gbódóó,enormously
b’ọ́jọ́,enough
wùùlù,en-masse
che,enriched
gbálukà,enrolled
dọ́mọ,ensure
gbẹ́rẹ̀,Enter
gbẹ́rẹ̀,entered
ájà,enterprise
àmọ́já,enterprises
iyá,entertainment
àb’úkèlì,entertainers
chákáá,entire
gbáàà,entirely
álú,entrance
úgbọ,entry
ánẹ́ẹ̀,environment
ánẹ́ẹ̀,Environment
ùliẹ́ná,envy
ágójì,epic
àmọ́dọ́,epochs
dábú,equal
déídéí,equally
ámẹ́nẹ́gọ́,equals
ẹ́ñwu-ígbélé,equipment
àmẹ́ñwu-ígbélé,Equipment
dábú,equivalent
ọ̀dọ́,era
àmọ́dọ́,eras
kpàlú,erase
ìkpàlú,erasure
ílā,error
rá,escape
álērá,escapes
káā,especially
ẹ́ñwu,essay
ojó,essence
ọ́kọ́,essential
ójó,essentially
dọ́mọ́,establish
jó,established
j’ọ́lá,establishing
úgbọ́dànyí,establishment
àmúgbọ́dànyí,establishments
íjà,estate
ìgà,Estate
dábú,estimate
dábú,estimated
àmọ́kàmọ,etc
yà,evacuate
gòó,evaluate
ché,even
ánẹ́,evening
ìkòkáà,Eventually
ẹ́ñwu,event
í-kpọ́kpẹ́ chuu,eventual
chuu,eventually
ámẹ́ñwu,events
jálíí,evidently
àjó,evidence
èbìlíì,evil
ìnáà,Evil
èmíì,evolution
kpàkpà,exact
gẹ̀gẹ̀dẹ̀,exactly
àñwàgó,examination
chábè,examine
òdè,example
àmọ́dè,examples
gbálí,exceptionally
gbẹ̀,excessive
gbáanẹ̀,exceed
jájá,exceeding
ètẹ̀lẹ̀,excellence
nyọ̀nyọ̀,excellent
biọwọ́-biọwọ́,excellently
ámáà,except
òdòdó,excess
ólóló,excessive
chàkpàà,excessively
kpàjìlọ̀,exchanged
ótìíkpẹ́,exclusion
òókaté,exclusively
á,excuse
ètẹ̀,excuse
kpabíẹ́,execute
chọ́,executing
ògijo,executive
gb’ọ́lá,Exercise
ñw’ányà,exercise
d’úkpáhíú,exert
nẹ́ úkpáhíú,exerted
ch’òdùgbá,exhibit
ilé-égbégbélẹ̀,exile
údèjú,existence
bọ̀,existing
dẹ́,exist
jọ,existed
òdódùfù,exit
dàgbá,expand
dàgbá,expanded
néjú,expect
ínẹ́jú,Expectation
chōchí,expected
mà,expecting
ínẹ́jú,expectation
ténẹ́,expected
ténẹ́,expecting
ìkálò,expenditure
íná,expense
ámínà,expenses
lọ́wọ́ ṅ,expensive
lí,experience
gbẹ́,experienced
àmọ́lí,experiences
Lí-ọ́gbà,Experience
ílẹ̀,Experience
áñwàgó,experiment
égbá,expert
ùmà,expertise
àmọ́gijo,experts
kà,explain
tẹ̀-ọ́lá,explained
kà,explaining
ètẹ̀,explanation
gbálí,explicitly
ténẹ́,explore
ténè,exploring
ámátá,explosions
chí,exposed
chí,expose
tá,exposed
tá,exposing
àdùñà,exposition
ẹ́j’egbá,expression
úkọ̀là,expressions
ùkomù,expression
àmúkòmù,expressions
dágō,expressive
kà jálíí,Express
kà,express
jẹ́,expressed
k’ẹ́jūkú,expressing
gẹ̀gẹ̀dẹ̀,expressly
chégbègbá,extend
jijì,extended
dúú,extensively
ójá,extent
ónèmúnẹ́,external
ñọ́,extract
yà,extracted
átúlè,extra
ágójì,extraordinarily
ákilíwo,extraordinary
fíòò,extremely
ẹ́jú,eye
kpá,eyed
ámẹ́jú,eyes
kpá,eyed
ámẹ́jú,eyes
ọ̀fẹ́,f.
ẹ́jú,face
kẹrẹ́bọ́,faced
jẹ̄,facilitate
ọ̀gẹ̀chá,fact
ojó,factor
àmaojó,factors
íkópènì,factory
chá,fade
ẹ̀chá,faded
chì,fail
chì,failed
ále,failure
jálíí,fair
chèchè,fairly
ínẹ́ẹ̀,faith
lọ́,fall
gbégbégédẹ́,falling
ákpá,falls
ọ̀lèémí,FALSE
èémí,falsehood
àbímọ́tọ,Family
àbímọ́tọ,family
j’odú,famous
áyínáà,fan
jíjì,far
gbáanẹ̀,farther
ìjága,fashion
gbáà,fast
híáanẹ̀,faster
dákwúù,fasten
yóyó,fat
k’úkwú jẹ́,fatal
íbégwú,fate
àtá,father
Ọ́jọ́ Àtá,Father
àmọ́tá,fathers
ẹ̀biẹ́nẹ́,fault
àmẹ̀biẹ́nẹ́,faults
ídí,favor
dáb’ọ́lá,favorable
jálíí,favorably
jó,favored
ìdí,favors
ch’ókpò,fear
j’éjìjì,fearful
àìlò,fearfulness
ùchèñwú,feast
Fébùárì,February
ọ́jááne,federal
ọ́kọ́,fee
jẹ,feed
újẹ́ñwu,feeding
ténẹ́,feel
èmí,feeling
àmèmí,feelings
ámẹ́rẹ́,feet
ẹ́nẹ́,fellow
ólé,female
àbóbúlẹ̀,females
ọ́gbáà,fence
d’ọ́gbá,fenced
àmọ́gbá,fences
jì,fend
kékélẹ́,few
gégègè,fewer
ẹ̀mí,field
ámẹ̀mí,fields
ẹ́g̀wẹ́lúù,fifteen
ẹ́kẹ́lū,fifth
óóje,fifty
j’ùjà,fight
újà,fighting
àmójá,fights
ódú,figure
àmalú,figures
ẹ́gbẹ́,file
kọ́,fill
kọ́,filled
sìnímà,film
tà,filter
ótítálá,final
káá,finally
ọ́kọ́,financial
yẹ̀,find
gb’íhì,finding
ẹ́lí,findings
ínyẹ́ẹ̀,fine
gbégbégédẹ́,finely
ọ̀kpàtàchìì,finest
ọ́mọwọ́,finger
ámọ́mọwọ́,fingers
kpa,finish
kpá,finished
jì,finishing
úna,fire
gbá,fired
Ùná,Fire
àmúná,fires
jányíí,firm
gágàdā,firmly
ojódùdú,first
kpákáá,first-rate
ẹ́ja,fish
ẹ́ja,Fish
gbá,fished
á́kpẹ́jà,fisherman
àmẹ́jà,fishes
kpẹ́jà,fishing
kámọ́,fit
dè,fitting
kámọ́,fits
ẹ́lú,five
ẹ́lẹ́lúù,Five
tẹ́,fixed
ágàlígà,flag
ẹ́gẹ-úna,flame
àmẹ̀gẹ-úná,flames
ráá,flash
ítọ́chì,flashlight
pátákáá,flat
rá,fled
ímótò-ejọ́mi,fleet
ùbálẹ̀,fleeting
ọ́rọ́,flesh
lọ́la,flexible
lọ́lá,flexibility
tìkìrìkìrì,flicker
ànyẹ́là,flight
jọ́gīgili,flinch
ìdí-omi,flood
yólọ́,flooded
chá,flow
Ídíí,Flow
yólọ́,flowed
Ìgbégbélẹ̀,Flow
odòdó,flower
t’íjākpáà,flowered
ámọ́dòdó,flowers
chá,flowing
ìlí,flux
họ́,fly
ójó,focal
ẹ́jú,focus
gẹ̀gẹ̀dẹ̀,focused
àfádọ̀dọ́,focuses
ẹ́nẹ́-ọ̀lá,foe
átúlá,fog
chẹ́,fold
ẹ̀chẹ́,folded
òhíka,folk
àbóígbélẹ́,folks
kpó,follow
dójí,followed
ámúdójí,following
ùjẹñwú,food
àmọ́jẹñwu,foods
ẹ́rẹ́,foot
íbọ́lù,football
idádà,foolish
dẹ̀yúdọ́,foot-dragging
lá,foolish
idádà,foolishly
ílálà,foolishness
ẹ́rẹ́ẹ̀,foot
ọ̀kpa,foot-path
tódú,for
àkpúlú,force
kpògìdè,forced
égbílẹ́,forceful
bẹ̀ẹ́,forcefully
nà,forcing
òlọ́ọ̀kó,foreigner
ẹnèmúnẹ́,Foreign
óko,forest
ẹ́gbélẹ́,Forest
ùgbọ́gbá,foregoing
gbégbéílẹ̀,forever
gbényọ́ọ̀,forget
gbẹ́nyọ́,forgotten
étító,formal
nẹ̀,form
ádúbálé,formally
ùbóbíì,formation
ágọ́fó,formative
ìchí,formats
ódó,formulation
gbẹ́gbẹ́dẹ́,former
íchí,Forms
ọ̀gwù,form
ìtògbà,Form
ẹ́ñwà,formula
éló,forth
ìgbék’í-ché,forthcoming
ẹ́rẹ́,fort
ánána,fortune
ẹ́fú,Fort
ọ́gbá,forward
jẹ,fostered
k'ényáà,Foster
já,fought
kpànyàà,foul
lí,found
ẹ́rẹ́-únyí,foundation
ẹ̀lẹ̀,four
ẹ́g̀wẹ̀lẹ̀,fourteen
ẹ́kẹ́lẹ̀,fourth
újà-ìyà,fracas
gwúché́,fracture
tìkí-tìkí,fragile
ẹ́gẹ́,fragment
ámẹ́gẹ́,fragments
úgbógbó,frame
ńúgbẹ́,framed
gágàdā,frankly
ùjí,fraud
gbẹ́jú,fraudulent
jàdá,freed
òmìnọ́lamí,freedom
fòófòó,free
híáálá,freely
gbà,freeing
t’ẹ́bùtù,freeze
kpíjèlè,freezing
Ẹ̀fúláǹsì,French
kpẹ́kpẹ́lẹ,frequently
Ùfọ́nù,Friday
ónúkwú,friend
ámonúkwu,friends
jálí,friendly
ónúkwú,friendship
Ọ̀lálī,Friendship
ónúkwú,friend
àmọ́núkwú,Friends
kwóò,from
ójúwó,front
àtẹ́,frontiers
j’ẹ̀yá,frustrated
ẹ́kpó,fuel
gbẹ́,fulfill
ẹ̀dọ̀,fulfillment
dúú,Full
kọ́,full
íyá,fun
édúù,function
édú,Function
ọ́kọ́,Fund
òbé,fund
d’ọ́kọ́,funded
ójó,fundamental
òbé,funds
ẹ̀gbádú,funeral
dāyé,furnished
gẹ́,further
ọ́gbá,future
ígamà,g.
j’ìlè,gain
jẹ́,gaining
dẹ́kwọ̀kwọ̀,galloping
ícháchá,gambling
íyáà,game
ámaiyáà,games
àmọ́jí,gang
èbì,gap
àfù,gas
àkwù,gate
ñọ́,gather
jọ,gathered
ùjẹjú,gathering
lí-ẹ́jú,gaze
nẹ́,gazed
lí-ẹ́jú,gazing
ọ̀tàjía,gear
ókó/ólé,Gender
dúú,general
kpọ́kpẹ́,generally
bì,generate
bì,generated
ájú,generation
àmaájú,generations
óláló,generally
àchẹ́le,generous
gbàgbà,generously
gbẹ́gbẹ́,gentle
ẹ́nẹ́,gentleman
àbókẹ̀lẹ̀,gentlemen
ọ̀pẹ́pẹ́,gently
ọ̀dú-anẹ̀,geography
Jámánì,german
Jámánì,germany
ìchẹ́,gesture
lá,get
Gbà,Get
egwú,ghost
ẹ̀kwùtẹ́,giant
élile,gigantic
ọ́m’onobúlẹ̀,girl
ábóígbẹ̀lẹ́,girls
du,give
d’ó,given
ẹ́nẹ́,giver
ádú,gives
yọ̀,glad
lí,glance
àgó,glass
égìgò-ejú,glasses
lí,glimpse
ájọ,global
òdú,glory
gbáàà,glorious
ójima,glorious
hìọ̀mìì,glossy
jó,glow
lé,go
ídí,goal
àmáídọ́,goals
ọ́jọ́,god
Ọ́jọ́,God
Ọ́jọ́,God
ónú ọ́mi,goddess
lọ,goes
ténè,going
àgòlò,gold
ẹ́kpikp’ọ́lù ọ̀bà,Golden
tàkpá,gone
ẹ̀nyọ̀,good
ẹ́ñwu,goods
jẹ́ ọ́fẹ́,govern
ígọ́métì,government
àmígọ́métì,governments
ígọ́bìná,governor
ùfẹ́dọ̀,grace
Ùfẹ́dọ̀,Grace
pẹ́ẹ́pẹ́ẹ́,gradually
dáchí,graduated
átá-átá,grandfather
íy’átá,grandmother
élile-élile,grand
ójóójì,Grand
jẹ́,granted
àwọ̀nyí,graph
gwọ́wọ́nyú,grasp
ẹ́gbé,grass
ùgbédẹ,grateful
ojínójíì,grave
gbẹ́,great
túlè,greater
kpákáá,greatest
ọ́dùfà,green
gbẹ́,greeted
náagò,greeting
àbùrú,grief
èmímì,grievance
kp’ẹ́jú,grimace
gàlá,grip
ìbẹ́,groin
dúú,Gross
ùchẹ̀,Group
dó,grouped
jìjó,grouping
àmáchẹ,groups
àmáùchè,groups
àmọ́jẹ́jú,groups
ẹ̀bóbíí,growth
ìyámíì,guarantees
ígamíì,guaranteeing
àdídẹ́,guard
ẹ́nẹ́ídẹ̀,guardian
bọ,guess
ùbọ́dù,guess
lí,guessed
ádúbō,guessing
l’ọ̀ọ́nà,guide
kọ́-íbe,guiding
n’ébì,guilty
Gìníì,Guinea
ólí égbéẹ̀,gun
ámẹ́gbéẹ̀,guns
àmálí,habits
áli,habit
tètè,habitual
álẹ́gbálẹ́,habitually
ché,Had
kó,Had
má,Had
kà,hail
òkwúta ọ́mọjọ́chà,hailstone
èdùdú,hair
kpákpálá,hairless
àmédùdú,hairs
jùù,hairy
ójì-káà,half
che-kàdọ́nà,halfway
ẹ́jẹ̀fù,hall
òkógò,hammer
dányú,hammered
dányú,hammering
ọ́wọ́,hand
jó,handling
ámọ́wọ́,hands
Ọ́wọ́,Hand
kọ́-ọ́wọ́,hands off
gbélẹ́gbélẹ́,handsome
dálọ̀,hang
che,happens
ùyọ̀,happiness
n’ùyọ̀,happy
gbítì,hard
kpálá,harder
nyá,hardly
mú,Has
kpó,Has
d’ọ́,has
gbágbá,harshly
já,harvest
já,harvested
já,harvesting
ọ̀tàjía,hat
ráílọ́,hate
àìlọ́,hatred
ché,having
ọ̀kpẹ̀lẹ̀,hazard
gbẹ́jú,hazardous
ìgbégbèjú,hazards
í,he
Ójí,Head
ògijo,Head
ẹ́gà,Head
ójí,head
ọ́jìgbúù,headache
àmaójí,heads
ọ́là,health
làáfíà,healthy
gbọ́,hear
gbọ́,heard
ẹ́gbọ́,hearing
ẹ́dọ̀,heart
pàà,heartily
kpá,heat
hì,heating
àfù,heavens
ójáálẹ̀,heaven
gbágádáá,heavily
dẹ́kẹ̀,heavy
ọ́gbá,height
ikólìkọ́,hell
náàgò,Hello
ch’ábùnẹ́,Help
tódúlẹ́,Hence
ó,her
ú,her
ógwù,herb
àmógwù,herbs
ẹ́mí,here
ógijo,hero
ọ̀gẹ̀nẹ́chá,heroic
àb’ágójì,heroes
ọ́,hers
ọ́la ñwú,herself
ónúgò,Himself
dẹ́yúdọ́,hesitated
Áchá,hi
májáà,hide
májáà,hidden
áñọ,hide
m̀á 'jáà,hiding
ákpẹ́nẹ́ -ákpénē,hierarchical
túlẹ̀,high
túlẹ̀,higher
túlẹ̀,highest
nyọ́nyọ̀,highly
chẹ́kà,highlighted
chábẹ́,highlighting
ikpadàla,highway
úwó,hill
ámúwọ́,hills
ó,him
ọ́la ñwú,himself
ẹ́kẹ̀kẹ́,hint
du-tínẹ̀,hire
átúdú,hires
nẹ́,hiring
ọ́,his
ígbélẹ́,historical
àhíká,histories
ítà,history
ọ̀lá-ígbélẹ́,History
Étìlà,Hitler
fù,hit
afú,hits
ọ̀gá-ọ́wáílo,HIV
àkwúbì,hitherto
gwọ́wọ́nyú,hold
nẹ́,holding
awó,hole
àmáwọ́,holes
iná,holy
únyí,home
ámonyí,homes
ókólọ̀,homestead
íñọ́,honey
òjíma,honor
gbélẹ́gbélẹ́,honorable
élẹ́,honorary
d’òjíma,honored
tá,hook
k’ẹ́rẹ́,hooking
íkẹ̀nẹ́ẹ̀,hope
kẹ̀dọ̀nó,hoping
ùbáìlò,horror
ànyà,horse
únyí-ógwù,hospital
àkpá-àmú,hostage
j’ọ̀ọ́kọ́,hostile
àílọ́,hostility
ùgbà-ótùrìísítì,hotel
àmúgbò-ótùrìísítì,hotels
ágọ́gọ́,hour
àmagógọ́,hours
ọ́dọ́,House
únyí,house
àbó,House
ẹ̀gbánẹ́,household
àgbárú,Housing
ábú,how
m̀údáà,however
ọ́tọ́ọ́lọ́gbọ̀lọ̀,huge
gọlìì,hugely
ẹ́nẹ́,human
àmẹ́nẹ́,humans
Ẹ́nẹ́,Human
ónẹ̀,humanity
m̀ọ̀là,humane
ìlẹ̀,Humanity
hì,humble
bọ,hunch
ógwúmẹ́lú,hundred
ébí,hunger
ǹégō,hungry
dọ́dẹ̀,hunted
ájọ́dẹ̀,hunter
àmájọ́dẹ̀,hunters
ódẹ̀,hunting
nẹ̀dọ̀dẹ́,hunting
rọ́,hurl
k'àfù,hurled
kpálápálá,hurried
kpákpálá,hurriedly
ùnájú,hurry
gw’ọ́gbé,hurt
ọ́kọ́,husband
únyí,hut
ámonyí,huts
ójóojì,hybrid
íbē,hypothesis
ámíbē,hypotheses
káálọ́,hypothetical
ú,I
òmi,I
ù,I
yégéyégé,ice
íbe,idea
dábú ọ́làáfíáà,ideally
àmíbē,ideas
kámá,identical
m̀ẹ́jú,identify
m̀ẹ́jú,identified
ójóojì,identity
ẹ́gbà,ideological
ádábu,i.e.
íchẹñwú,if
t’ẹ́jú tínyọ́ọ̀,ignore
ùgbọ̀dúù,ignorance
ọ̀gbólí,ignorant
lọ̀,ill
ọ̀fẹ́,illegal
ólọ́,illness
ọ̀gá,illness
àmọ́gá,illnesses
áwọ̀nyí,illustration
àwọ̀nyí,image
àmàwọ̀nyí,images
ìgbàmìnì,imaginary
ẹ́rẹ̀rẹ̀,immediately
kẹ́,immediately
ọ́tọ́tọ́lọ́gbọ̀lọ̀,immense
ílòdó,immigrant
ùlẹ́lẹ̀,immigration
Ègbunu,immune
jì,impaired
ẹ́yìbó,imperial
ẹ́ñwú-ídọnà,implement
bàkú,imply
íjẹ́m̀údá,implying
ẹ̀gbà,import
ọ̀gbààlà,importance
ójó,important
tā,impose
tá,imposed
gbẹ́,imposing
ídí-íbe,impression
àmídí-íbe,impressions
bù,improve
múdáà,improved
éfù,in
nyá,inadequate
gbọ̀,incapable
ìdálé,inception
kọ́nyú,incite
kẹ̀dọ̀nó,inclined
bọ̀,incomplete
dàgbá,increase
náwò,increasing
ńááwó,increasingly
gbóó,indeed
Íígbá,Indeed
ọ̀mìínọ́làmi,independence
ḿúdā,indicate
bàkú,indicating
ọ̀kọ́,indication
híámá,indifferent
Ígáláà,indigenous
ẹ́nẹ́-káà,individual
ẹ́nẹ́nẹ̣,individuals
tíìtiti,individually
jó,induced
àmaúkọ́lọ́,industries
òbé,industry
ètúbẹ̀ẹ̀,ineffective
ádàákánā,inevitable
ọ́má,infant
àmọ́má,infants
ọ̀gá,infection
lógwọ́,infectious
gẹ́lẹ́,inferior
ọ̀gbàgbálẹ̀,infinite
gbégbélẹ̀,infinitely
chẹ́,influencing
kà,inform
íbē,information
m̀á,informed
ágwú,inheritance
d’ọyà,inherited
ẹ́yà,initial
bìtẹ́,initiated
úgbọ,initiative
òlíẹ́,injection
chágbẹ́,injured
ágbee,injury
ìyẹ̀lúwẹ́ẹ̀,ink
éfú,inner
ọ̀kpákáà,innocent
ọ́lá,innovation
àmọ́lá,innovations
ínaà,inscription
àmáínaà,inscriptions
áìlọ̀,insect
éfú,inside
ẹ́nẹ́,insider
lìgbàlìgbà,insist
ọ̀lìgbálìgbà,insistence
lìgbàlìgbà,insisting
gbẹ̀,install
ọ̀nálẹ́,instance
àmọ́nálẹ́,instances
érẹ́rẹ̀,instantly
ọ́gbááká,instead
tẹ̀-ọ́lá,instituted
úgbọ́dànyí,institution
àmúgbọ́dànyí,institutions
dú-ọ́dàá,instruct
ẹ́gbà,instruction
ìtíchà,instructor
ẹ́ñwú-ídọnà,instruments
ẹ́ñwá ídónà,instruments
ùfíà,insurance
jó,intact
ch’ẹ̀kákó,integrate
ch’ẹ̀kákó,integrated
ọ́gbọ́n,intellectual
àb’úmà,intellectuals
ọ́gbọ́n,intelligence
ọ́biẹ́,intelligent
íníyà,intend
kámá,intends
kpá,intense
gbáà,intensely
àgbúlú,intensity
áli,intention
lèrú,interact
ùgbégbọ,interaction
íjíẹ̀,interest
ùjògbò,interference
ẹ́jẹ̀fù,interior
éfù,internal
ẹ̀tọ́ọ́fẹ́,interpretation
ḿúdẹ́chí,interpret
ìgbà,intervention
ùfẹ̀dọ̀,intimacy
nyú,into
àkàmágbọ,intransigence
kà,introduce
nẹ,introducing
ùjògbò,invasion
chọ́,invent
ẹ́ñwu-ígbélé,invention
àchọ́náà,inventor
jẹ́ àjíyá,invest
gw’ólí,investigate
ùgbàálù,Investment
ìnyàmà,investment
ámaìnyàmà,investments
ké,invite
kà,invited
ẹ̀jẹ́,invitation
dégbòó,invincible
kpàí,involve
áfẹ̀fá,involves
bíù,iron
àfọ́,ironic
Ẹbíjẹ̀,Iron
chòchòchóò,irregular
píọ́,irrevocably
ọ̀wọ̀,Islam
Àkpá,Islamic
ọ́fí-àji,island
Ísírẹ́lì,Israeli
àmọ́là,issues
ọ̀lá,issue
ọ̀gbọ̀gbà,issues
Ọ̀lá,Issue
í,it
ẹ́ñwu,items
ámẹ́ñwú,items
ẹ́ñwú,Item
ọ́,its
ónúgò,itself
Jánuárì,Jan.
Jánuárì,January
Jàpáàn,Japan
yàá,jarring
ìgbàà,jaw
Jésù,Jesus
úkọ́lọ́,Job
úkọ́lọ́,job
àtábáà-ejú,johns
ójìkó,joint
kòchè,jointly
àmájóìkó,joints
ọ̀tákáda,journal
ùlẹ̀,journey
àmúlẹ̀,journeys
ùnyọ̀,joy
gbẹ́já,joyful
ákájọ́,judge
lí,judged
ìníyà,judgement
ùmà,judgement
Jùláì,July
Júùnù,June
kékélé,junior
ojáánẹ̀,jurisdiction
fáàfáí,just
gbàgbà,just
ọ̀fọ́,justice
ètẹ̀,justification
dábú,justified
tẹ̀ọ́lá,justify
nẹ̀,kept
ọ́mà-ígèdè,key
kpa,kill
kpá,killed
ákpọnẹ́,killer
ákpá,kills
ùfẹ̀dọ̀,kindness
ónú,king
ójáánẹ̀,kingdom
óbúkà,kitchen
ọ̀bẹ,knife
àmọ́bẹ̀,knives
d’úkókó,knock
kwọ́,knocked
t’ígbíì,knot
jí,knotted
m̀á,know
ńínáà,knowing
gẹ́gẹ́dẹ̀,knowingly
ùmà,knowledge
kà,known
Kòríánì,Korean
ínyé,kudos
íjìníkpá,labor
íkpálà,labour
ẹ̀gíbílẹ́,laboured
ábọ́-ọ́gwù,labourers
tá,lack
má,lacks
àgwùbé,ladder
ábóígbẹ̀lẹ́,ladies
ọ́mágbẹ̀lẹ́,lady
Ájì,Lake
ájí,lake
àmọ́jí,lakes
anẹ́ẹ̀,land
òdú-anẹ̀,landscape
íchí,language
àmọ́chí,languages
gbágádá,large
gbáanẹ̀,larger
àkwúgbá,las
títálá,last
échí,Last
ùbiánẹ́-í,lately
nyányí,laugh
ányí,laughing
ànyí,laughter
ódáà,law
dábú ódáà,lawful
àmọ́dáà,laws
du,lay
lótú,lead
àgbojí,leader
ojìágbòjí,leadership
tètè,leading
kọ́,leaned
gányáá,lean
kọ́chẹ́,learning
mínímómù,least
ánọ́,leather
lè,leave
ẹ́gbẹ́,leaves
dú,led
jálí,legitimacy
ọ̀gẹ́nẹ́chá,legitimate
áménẹ́,lending
ójá,length
dábùù,lessen
ìlọ̀,lesson
gbùñà,let
àmalétà,letters
ọ́gbá,level
ọ́kọ́-ùtẹ́,levy
ètẹ̀ẹ̀,liberal
àjàdù,liberation
únyí-íbúkù,library
rẹ́ẹ̀mí,lied
